sku;fechaIni;fechaFin
5;20181213;20190110
27;20180108;20180303
34;20120613;20120816
5;20201210;20210113
5;20150313;20150409
9;20210923;20211020
40;20190516;20190613
40;20210506;20210606
48;20160401;20160430
29;20170316;20170416
40;20201210;20210113
48;20191007;20191107
48;20171106;20171206
28;20140828;20141028
19;20200626;20200723
24;20150612;20150716
43;20190614;20190714
1;20200724;20200824
37;20211021;20211117
19;20180108;20180303
43;20151118;20160110
18;20211021;20211117
22;20210923;20211020
33;20200626;20200723
4;20160817;20160831
50;20181008;20181108
16;20140423;20140612
14;20170714;20170814
50;20200724;20200824
34;20160714;20160815
6;20171106;20171206
34;20181213;20190110
10;20210901;20210922
5;20181112;20181212
10;20180611;20180711
36;20210114;20210307
45;20150313;20150409
45;20191108;20191208
29;20140828;20141028
9;20190819;20190905
36;20150113;20150312
48;20121122;20130111
40;20141029;20141121
38;20151009;20151117
43;20120314;20120409
38;20200626;20200723
12;20190829;20190925
43;20180305;20180405
46;20180108;20180303
46;20150313;20150409
19;20140714;20140813
37;20190906;20191006
12;20190530;20190626
19;20210506;20210606
49;20170905;20171004
43;20110924;20111124
43;20161007;20161117
49;20171106;20171206
38;20120613;20120816
4;20200825;20200909
35;20210506;20210606
2;20190715;20190815
33;20190308;20190328
50;20191007;20191107
26;20160714;20160815
11;20180406;20180506
2;20180108;20180306
16;20160307;20160331
25;20200326;20200422
6;20120112;20120313
5;20120826;20120926
28;20200113;20200305
45;20181112;20181212
47;20201210;20210113
29;20181112;20181212
36;20200113;20200305
48;20191210;20200110
29;20201210;20210113
47;20120826;20120926
24;20210311;20210407
49;20180611;20180711
37;20190715;20190815
38;20110617;20110817
49;20210923;20211020
1;20110828;20110923
49;20140828;20141028
37;20180406;20180506
49;20210506;20210606
4;20160401;20160430
18;20160307;20160331
18;20200324;20200414
33;20180108;20180306
20;20170316;20170416
16;20130920;20131121
50;20210923;20211020
33;20161007;20161117
21;20210923;20211020
3;20160401;20160430
6;20210506;20210606
6;20190819;20190905
17;20160401;20160430
28;20170420;20170520
47;20111125;20120111
48;20200324;20200414
31;20211021;20211117
31;20190329;20190425
29;20160817;20160831
45;20190614;20190714
29;20110224;20110409
45;20170521;20170612
15;20110112;20110223
15;20180406;20180506
19;20201210;20210113
39;20150113;20150312
33;20120613;20120816
2;20200612;20200625
4;20140828;20141028
4;20160112;20160306
26;20120112;20120313
22;20200825;20200909
6;20160610;20160710
6;20180108;20180303
25;20190829;20190925
3;20120112;20120313
3;20181213;20190110
34;20160509;20160609
3;20180611;20180711
34;20110104;20110111
41;20200724;20200824
45;20210901;20210922
45;20180712;20180812
31;20141122;20150112
48;20151118;20160110
36;20160307;20160331
28;20190329;20190425
36;20140116;20140321
38;20140714;20140813
43;20160307;20160331
38;20190614;20190714
30;20210408;20210505
37;20210715;20210815
19;20120613;20120816
43;20171005;20171105
19;20190516;20190613
37;20201008;20201108
38;20121122;20130111
24;20110112;20110223
22;20190111;20190307
8;20140116;20140321
4;20201210;20210113
33;20210901;20210922
33;20170521;20170612
14;20140116;20140321
42;20150901;20151008
33;20180611;20180711
33;20200724;20200824
14;20150901;20151008
6;20110112;20110223
28;20200626;20200723
28;20190614;20190714
