sku;fecha;udsStock
28;20201122;60
28;20201123;220
28;20201124;212
28;20201125;196
28;20201126;196
28;20201127;192
28;20201128;184
28;20201129;176
28;20201130;176
28;20201201;160
28;20201202;144
28;20201203;144
28;20201204;124
28;20201205;104
28;20201206;80
28;20201207;80
28;20201208;64
28;20201209;176
28;20201210;160
28;20201211;144
28;20201212;120
28;20201213;116
28;20201214;116
28;20201215;104
28;20201216;100
28;20201217;80
28;20201218;72
28;20201219;64
28;20201220;52
28;20201221;252
28;20201222;232
28;20201223;224
28;20201224;204
28;20201225;192
28;20201226;192
28;20201227;192
28;20201228;192
28;20201229;188
28;20201230;168
28;20201231;160
28;20210101;136
28;20210102;136
28;20210103;108
28;20210104;148
28;20210105;132
28;20210106;112
28;20210107;112
28;20210108;96
28;20210109;104
28;20210110;100
28;20210111;100
28;20210112;88
28;20210113;88
28;20210114;80
28;20210115;76
28;20210116;60
28;20210117;56
28;20210118;136
28;20210119;128
28;20210120;120
28;20210121;116
28;20210122;112
28;20210123;104
28;20210124;104
28;20210125;104
28;20210126;92
28;20210127;88
28;20210128;68
28;20210129;52
28;20210130;32
28;20210131;24
28;20210201;64
28;20210202;40
28;20210203;32
28;20210204;24
28;20210205;108
28;20210206;104
28;20210207;84
28;20210208;84
28;20210209;84
28;20210210;84
28;20210211;80
28;20210212;80
28;20210213;76
28;20210214;64
28;20210215;184
28;20210216;172
28;20210217;172
28;20210218;160
28;20210219;160
28;20210220;136
28;20210221;132
28;20210222;132
28;20210223;120
28;20210224;112
28;20210225;112
28;20210226;108
28;20210227;104
28;20210228;88
28;20210301;168
28;20210302;168
28;20210303;160
28;20210304;140
28;20210305;136
28;20210306;132
28;20210307;100
28;20210308;100
28;20210309;92
28;20210310;84
28;20210311;72
28;20210312;60
28;20210313;60
28;20210314;56
28;20210315;136
28;20210316;136
28;20210317;128
28;20210318;124
28;20210319;120
28;20210320;112
28;20210321;100
28;20210322;100
28;20210323;80
28;20210324;80
28;20210325;76
28;20210326;60
28;20210327;52
28;20210328;44
28;20210329;84
28;20210330;84
28;20210331;72
28;20210401;64
28;20210402;60
28;20210403;60
28;20210404;52
28;20210405;52
28;20210406;52
28;20210407;48
28;20210408;40
28;20210409;24
32;20200529;60
32;20200530;44
32;20200531;28
32;20200601;28
32;20200602;104
32;20200603;100
32;20200604;64
32;20200605;48
32;20200606;36
32;20200607;12
32;20200608;12
32;20200609;120
32;20200610;108
32;20200611;100
32;20200612;76
32;20200613;64
32;20200614;56
32;20200615;56
32;20200616;108
32;20200617;84
32;20200618;68
32;20200619;52
32;20200620;36
32;20200621;24
32;20200622;24
32;20200623;100
32;20200624;88
32;20200625;72
32;20200626;60
32;20200627;40
32;20200628;20
32;20200629;20
32;20200630;140
32;20200701;136
32;20200702;116
32;20200703;104
32;20200704;76
32;20200705;60
32;20200706;60
32;20200707;156
32;20200708;132
32;20200709;108
32;20200710;84
32;20200711;60
32;20200712;36
32;20200713;36
32;20200714;104
